hx,hy,hz
9.8370553884498863e-02,8.9820106077199269e-01,4.2843679645488453e-01
-5.5340066131012811e-01,1.9791362540229093e-01,8.0905988958891939e-01
-8.6421610223009104e-01,-4.9098270983212544e-01,1.0984765492322468e-01
-8.2761832119355894e-01,4.1502914112460387e-01,-3.7788718745430999e-01
-1.5399220430569635e-01,9.7440239417121211e-01,1.6378759185751104e-01
6.9638380594656368e-01,6.4518927647132296e-01,-3.1429348122700479e-01
-6.9033579329123365e-02,3.4735348114650544e-01,-9.3518977970271577e-01
-8.3918583666719437e-01,-1.8787507173798243e-01,-5.1036270333619493e-01
-9.8370553884498863e-02,-8.9820106077199269e-01,-4.2843679645488453e-01
