hx,hy,hz
-5.1248517673483700e-02,1.5854025951054179e-01,9.8601814820351275e-01
8.1340131137889393e-01,3.5332145739513765e-01,4.6209502737536184e-01
7.3236633375981097e-01,-6.4425393909967188e-01,2.2044698897442480e-01
-2.6233965312734267e-02,-9.0474939430423329e-01,-4.2511584892015747e-01
4.4597422023709477e-01,-1.1534637813710513e-01,-8.8758461339642636e-01
9.6671383829541546e-01,2.4448628969300279e-01,-7.5495626739835120e-02
2.9302688710285912e-01,8.7947754838767034e-01,3.7501525270470826e-01
-1.0868784455223485e-02,7.9603744666747744e-01,-6.0516499710927640e-01
5.1248517673483700e-02,-1.5854025951054179e-01,-9.8601814820351275e-01
