hx,hy,hz
-2.1063256128096794e-01,9.6555358632789601e-01,1.5277498505173434e-01
-5.7164664776030771e-01,2.3776856725853215e-01,7.8529371481518151e-01
-8.0361634122221492e-01,-5.6574273535159714e-01,1.8475912296152897e-01
-8.6991597975021862e-01,2.7025532921943934e-01,-4.1256301967543074e-01
-1.4978794861339539e-01,9.7080726598332023e-01,-1.8734146034495905e-01
5.2227106210891472e-01,4.2162920058617265e-01,-7.4125687510922367e-01
-3.3294998633018930e-01,-1.1774425370113219e-01,-9.3556432024906244e-01
-7.6241758638422941e-01,-6.2902027627071844e-01,-1.5183186757843442e-01
2.1063256128096794e-01,-9.6555358632789601e-01,-1.5277498505173434e-01
